material_label,paper_category,wavelength_um,emissivity,reflectivity,source_file
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.7085,0.99035,0.00965,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.6645,0.99345,0.00655,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.6208,0.99463,0.00537,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.5774,0.99442,0.00558,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.5344,0.99191,0.00809,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.4918,0.99384,0.00616,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.4495,0.99479,0.00521,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.4075,0.99311,0.00689,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.3659,0.99449,0.00551,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.3246,0.99273,0.00727,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.2836,0.99145,0.00855,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.2429,0.99247,0.00753,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.2026,0.99137,0.00863,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.1626,0.98973,0.01027,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.1229,0.98799,0.01201,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.0835,0.98655,0.01345,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.0444,0.98571,0.01429,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,10.0057,0.98342,0.01658,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.9672,0.98083,0.01917,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.929,0.98171,0.01829,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.8911,0.9815,0.0185,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.8535,0.98116,0.01884,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.8162,0.98106,0.01894,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.7791,0.9802,0.0198,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.7424,0.98147,0.01853,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.7059,0.9787,0.0213,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.6697,0.97875,0.02125,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.6337,0.9783,0.0217,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.598,0.97943,0.02057,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.5626,0.97855,0.02145,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.5274,0.97948,0.02052,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.4925,0.97983,0.02017,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.4579,0.97846,0.02154,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.4235,0.9813,0.0187,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.3894,0.97697,0.02303,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.3555,0.976,0.024,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,9.3218,0.97611,0.02389,alumdisk.prn
